name,id
ООО  НОВАКИТ,1212300015036-obschestvo-s-ogranichennoj-otvetstvennostyu-novakit
ООО  СБЕРЭНЕРГО,1207700231342-obschestvo-s-ogranichennoj-otvetstvennostyu-sberenergo
ООО  СИГМА,1159102055936-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-sigma
АО  РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ,5087746119951-ao-rossijskij-kontsern-po-proizvodstvu-elektricheskoj-i-teplovoj-energii-na-atomnyih-stantsiyah
АО  ФЕДЕРАЛЬНАЯ СЕТЕВАЯ КОМПАНИЯ ЕДИНОЙ ЭНЕРГЕТИЧЕСКОЙ СИСТЕМЫ,1024701893336-pao-publichnoe-aktsionernoe-obschestvo-federalnaya-setevaya-kompaniya-edinoj-energeticheskoj-sistemyi
АО  ФЕДЕРАЛЬНАЯ ГИДРОГЕНЕРИРУЮЩАЯ КОМПАНИЯ - РУСГИДРО,1042401810494-pao-publichnoe-aktsionernoe-obschestvo-federalnaya-gidrogeneriruyuschaya-kompaniya-rusgidro
АО  ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ,1047855099170-ao-gazprom-gazoraspredelenie
АО  ИНТЕР РАО ЕЭС,1022302933630-pao-inter-rao-ees
АО  ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ,1117746460358-ao-inter-rao-elektrogeneratsiya
ООО  ТРАНСНЕФТЬ - ВОСТОК,1063801003617-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-transneft-vostok
ООО  ТРАНСНЕФТЬ - ДАЛЬНИЙ ВОСТОК,1092724004944-ooo-transneft-dalnij-vostok
ООО  ТРАНСНЕФТЬ - БАЛТИКА,1024700871711-ooo-transneft-baltika
АО  ЕВРОСИБЭНЕРГО,5087746073817-ao-aktsionernoe-obschestvo-evrosibenergo
ГУП  ГУП ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОМПЛЕКС САНКТ-ПЕТЕРБУРГА,1027810310274-gup-gosudarstvennoe-unitarnoe-predpriyatie-toplivno-energeticheskij-kompleks-sankt-peterburga
АО  Т ПЛЮС,1056315070350-pao-publichnoe-aktsionernoe-obschestvo-t-plyus
АО  ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ,1057746394155-ao-obedinennaya-energeticheskaya-kompaniya
АО  МОСГАЗ,1127747295686-ao-aktsionernoe-obschestvo-mosgaz
ООО  ГАЗПРОМ ГАЗОМОТОРНОЕ ТОПЛИВО,1063905088158-ooo-gazprom-gazomotornoe-toplivo
АО  ДАЛЬНЕВОСТОЧНАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ,1051401746769-ao-dalnevostochnaya-generiruyuschaya-kompaniya
АО  ВТОРАЯ ГЕНЕРИРУЮЩАЯ КОМПАНИЯ ОПТОВОГО РЫНКА ЭЛЕКТРОЭНЕРГИИ,1052600002180-pao-vtoraya-generiruyuschaya-kompaniya-optovogo-ryinka-elektroenergii
АО  НЕОРГАНИЧЕСКИЕ СОРБЕНТЫ,1216600003927-aktsionernoe-obschestvo-neorganicheskie-sorbentyi
ООО  НАТУРАЛ БИО ОРГАНИК,1217700273306-ooo-natural-bio-organik
ООО  АТОМ,1187847051611-ooo-atom
ООО  ПОЛИДОКС,1201600047220-obschestvo-s-ogranichennoj-otvetstvennostyu-polidoks
АО  ПЕНТА ТЕХНОЛОГИИ,1197746615824-aktsionernoe-obschestvo-penta-tehnologii
ООО  ЗАВОД РЕЗИНОВЫХ ТЕХНИЧЕСКИХ ИЗДЕЛИЙ,1177847403359-ooo-zavod-rezinovyih-tehnicheskih-izdelij
ООО  НАСТИМА,1205500025334-obschestvo-s-ogranichennoj-otvetstvennostyu-nastima
ООО  РОКСИ,1107847029817-ooo-roksi
ООО  ПОЛИМЕРАЛЬЯНС,1105047009594-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-polimeralyans
ООО  КРЕДО-СТРОЙ,1075905007287-ooo-kredo-stroj
ООО  ФЕНСТЕР,1123850044548-ooo-fenster
ООО  ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА МАРГО,1167847314227-ooo-proizvodstvenno-kommercheskaya-firma-margo
ООО  ДОРОЖНЫЙ ЭКСПЕРТ,1175007009980-ooo-dorozhnyij-ekspert
ООО  ГИДРАВЕРС,1163702050203-ooo-gidravers
ООО  ГАЗПРОМ ПЕРЕРАБОТКА БЛАГОВЕЩЕНСК,1142722003467-ooo-gazprom-pererabotka-blagoveschensk
ООО  ЗАПАДНО-СИБИРСКИЙ НЕФТЕХИМИЧЕСКИЙ КОМБИНАТ,1071690035185-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-zapadno-sibirskij-neftehimicheskij-kombinat
ООО  ИРКУТСКИЙ ЗАВОД ПОЛИМЕРОВ,1173850011411-ooo-irkutskij-zavod-polimerov
ФГУП  ФГУП ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ МАЯК,1027401177209-fgup-fgup-proizvodstvennoe-obedinenie-mayak
ООО  АМУРСКИЙ ГАЗОХИМИЧЕСКИЙ КОМПЛЕКС,1142807000445-ooo-amurskij-gazohimicheskij-kompleks
ООО  РУСВИНИЛ,1075262019766-ooo-rusvinil
ООО  СТАЛЕЛИТЕЙНАЯ КОМПАНИЯ ПАМИР,1137328002250-ooo-stalelitejnaya-kompaniya-pamir
ООО  УРАЛ ЛИДЕР ГРУПП,1169658136779-ooo-ural-lazer
ООО  ГРУППА КОМПАНИЙ СПЕЦМЕТАЛЛМАСТЕР,1157746420512-ooo-gruppa-kompanij-spetsmetallmaster
ООО  НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ПОРОШКОВЫЕ ТЕХНОЛОГИИ,1191215003759-obschestvo-s-ogranichennoj-otvetstvennostyu-nauchno-proizvodstvennoe-predpriyatie-poroshkovyie-tehnologii
ООО  НАУЧНО - ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ РУСРЕДМЕТ,1177746349483-ooo-nauchno-proizvodstvennoe-obedinenie-rusredmet
ООО  ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ РЗК,1051801429206-ooo-proizvodstvennaya-kompaniya-rzk
ООО  АРДЕНА,1213100004171-obschestvo-s-ogranichennoj-otvetstvennostyu-ardena
ООО  РУСАЛ ТАЙШЕТСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД,1063815015494-ooo-rusal-tajshetskij-alyuminievyij-zavod
ООО  ТЕРМИШИН РУС,1145032002158-ooo-termishin-rus
ООО  НЛМК - КАЛУГА,1124025005873-ooo-nlmk-kaluga
ООО  УДОКАНСКАЯ МЕДЬ,1087536009857-ooo-bajkalskaya-gornaya-kompaniya
АО  РУСАЛ САЯНОГОРСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД,1021900670758-ao-rusal-sayanogorskij-alyuminievyij-zavod
АО  ЧЕЛЯБИНСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1027402319361-ao-chelyabinskij-elektrometallurgicheskij-kombinat
АО  МАГНИТОГОРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1027402166835-pao-magnitogorskij-metallurgicheskij-kombinat
АО  ГАЗПРОМТРУБИНВЕСТ,1024402233173-oao-gazpromtrubinvest
ООО  ФИНАНСОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ ФОРТА,5147746266135-ooo-finansovo-promyishlennaya-kompaniya-forta
ООО  ОМЗ-СПЕЦСТАЛЬ,1026605609348-ooo-omz-spetsstal
АО  НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1024800823123-pao-novolipetskij-metallurgicheskij-kombinat
АО  ВОЛГОГРАДСКИЙ МЕХАНИЧЕСКИЙ ЗАВОД КРАСНЫЙ ОКТЯБРЬ,1133443022613-ao-volgogradskij-mehanicheskij-zavod-krasnyij-oktyabr
АО  ЕВРАЗ НИЖНЕТАГИЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1026601367539-ao-evraz-nizhnetagilskij-metallurgicheskij-kombinat
АО  СУЭК-КУЗБАСС,1074212001368-ao-suek-kuzbass
ООО  УГОЛЬНАЯ КОМПАНИЯ МЕЖЕГЕЙУГОЛЬ,1094220004031-ooo-ugolnaya-kompaniya-mezhegejugol
ООО  ШАХТА ЛИСТВЯЖНАЯ,1025403911664-ooo-shahta-listvyazhnaya
ООО  ММК-УГОЛЬ,1164205068598-ooo-mmk-ugol
АО  УГОЛЬНАЯ КОМПАНИЯ КУЗБАССРАЗРЕЗУГОЛЬ,1034205040935-ao-ugolnaya-kompaniya-kuzbassrazrezugol
АО  РАСПАДСКАЯ-КОКСОВАЯ,1034214000150-ao-raspadskaya-koksovaya
ООО  ЭЛЬГАУГОЛЬ,1131434000961-ooo-elgaugol
АО  ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМПЛЕКС ДЕНИСОВСКИЙ,1031401726157-ao-gorno-obogatitelnyij-kompleks-denisovskij
ООО  БАЙКАЛИНВЕСТЭНЕРГО,1023801005084-ooo-bajkalinvestenergo
АО  УРГАЛУГОЛЬ,1022700732504-ao-urgalugol
АО  СУЭК-КРАСНОЯРСК,1072466008955-ao-suek-krasnoyarsk
ООО  КОМПАНИЯ ВОСТСИБУГОЛЬ,1023801003764-ooo-kompaniya-vostsibugol
ООО  СУЭК-ХАКАСИЯ,1071903000773-ooo-suek-hakasiya
ООО  ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМПЛЕКС ЖЕРНОВСКИЙ-1,1124217009245-ooo-gorno-obogatitelnyij-kompleks-zhernovskij-1
ООО  РАЗРЕЗ КУЗНЕЦКИЙ ЮЖНЫЙ,1184205023640-obschestvo-s-ogranichennoj-otvetstvennostyu-razrez-kuznetskij-yuzhnyij
АО  ШАХТА ЗАРЕЧНАЯ,1024201298978-ao-shahta-zarechnaya
АО  ШАХТОУПРАВЛЕНИЕ ТАЛДИНСКОЕ-КЫРГАЙСКОЕ,1104223001960-ao-shahtoupravlenie-taldinskoe-kyirgajskoe
ООО  РАЗРЕЗ ЧЕРЕМХОВУГОЛЬ,1193850023950-obschestvo-s-ogranichennoj-otvetstvennostyu-razrez-cheremhovugol
ООО  РАЗРЕЗУГОЛЬ,1133850039861-ooo-razrezugol
АО  РАЗРЕЗ СТЕПАНОВСКИЙ,1174205027259-ao-aktsionernoe-obschestvo-razrez-stepanovskij
ГУП  ГУП РЕСПУБЛИКИ КРЫМ ЧЕРНОМОРНЕФТЕГАЗ,1149102099717-gup-gup-respubliki-kryim-chernomorneftegaz
АО  СУРГУТНЕФТЕГАЗ,1028600584540-pao-surgutneftegaz
ООО  НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ,1028900578134-obschestvo-s-ogranichennoj-otvetstvennostyu-novatek-yurharovneftegaz
ООО  НАЦИОНАЛЬНЫЙ НЕФТЯНОЙ КОНСОРЦИУМ,5087746207038-ooo-natsionalnyij-neftyanoj-konsortsium
ООО  АРКТИК СПГ 2,1148904001278-ooo-arktik-spg-2
ООО  ГАЗПРОМ РЕСУРС ПУРГАЗ,1128905001884-ooo-gazprom-resurs-purgaz
ООО  ГАЗПРОМ ДОБЫЧА УРЕНГОЙ,1028900628932-ooo-gazprom-dobyicha-urengoj
ООО  НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ,1058901201920-obschestvo-s-ogranichennoj-otvetstvennostyu-novatek-tarkosaleneftegaz
ООО  ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ,1028601441978-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-lukojl-zapadnaya-sibir
ООО  РН-УВАТНЕФТЕГАЗ,1027201295395-ooo-rn-uvatneftegaz
АО  ГАЗПРОМНЕФТЬ-НОЯБРЬСКНЕФТЕГАЗ,1028900703963-ao-gazpromneft-noyabrskneftegaz
АО  РНГ,1037789063476-ao-rng
ООО  ГАЗПРОМНЕФТЬ-ТЕХНОЛОГИЧЕСКИЕ ПАРТНЕРСТВА,1188617010064-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-gazpromneft-tehnologicheskie-partnerstva
ООО  ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ,1023001538460-ooo-gazprom-dobyicha-astrahan
ООО  ГАЗПРОМ ДОБЫЧА ЯМБУРГ,1028900624576-ooo-gazprom-dobyicha-yamburg
ООО  СЛАДКОВСКО-ЗАРЕЧНОЕ,1065611033652-ooo-sladkovsko-zarechnoe
ООО  ТАТНЕФТЬ-САМАРА,1091644003725-ooo-tatneft-samara
ООО  ЗАРУБЕЖНЕФТЬ-ДОБЫЧА ХАРЬЯГА,1157746887760-ooo-zarubezhneft-dobyicha-haryaga
ООО  ГАЗПРОМ ДОБЫЧА НАДЫМ,1028900578080-ooo-gazprom-dobyicha-nadyim
ООО  СОВМЕСТНАЯ КОМПАНИЯ РУСВЬЕТПЕТРО,1087746814000-ooo-sovmestnaya-kompaniya-rusvetpetro
АО  ВЕРХНЕКАМСКАЯ КАЛИЙНАЯ КОМПАНИЯ,1127746048572-ao-verhnekamskaya-kalijnaya-kompaniya
ООО  ЛУКОЙЛ ЭПУ СЕРВИС,1138608000080-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-lukojl-epu-servis
АО  СЕВЕРАЛМАЗ,1022901494945-pao-severalmaz
ООО  ГРК БЫСТРИНСКОЕ,1047796898600-ooo-grk-byistrinskoe
ООО  ГАЗПРОМ ФЛОТ,1027700198635-ooo-gazprom-flot
ООО  МЕДВЕЖИЙ РУЧЕЙ,1162468092852-ooo-medvezhij-ruchej
АО  СЕВЕРО-ЗАПАДНАЯ ФОСФОРНАЯ КОМПАНИЯ,1057747798778-ao-severo-zapadnaya-fosfornaya-kompaniya
ООО  КИМКАНО-СУТАРСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ,1047796563077-ooo-kimkano-sutarskij-gorno-obogatitelnyij-kombinat
ООО  РН-БУРЕНИЕ,1067746404681-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-rn-burenie
ООО  ЧЕРНОГОРСКАЯ ГРК,1067746396299-ooo-chernogorskaya-grk
АО  ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ТИМИР,1081434001571-zao-gorno-metallurgicheskaya-kompaniya-timir
ООО  РН-ПУРНЕФТЕГАЗ,1058901407707-ooo-rn-purneftegaz
ООО  ЗОЛОТОРУДНАЯ КОМПАНИЯ МАЙСКОЕ,1047725002863-ooo-zolotorudnaya-kompaniya-majskoe
АО  ПЕРВАЯ НЕРУДНАЯ КОМПАНИЯ,1087746575652-ao-pervaya-nerudnaya-kompaniya
ООО  ГАЗПРОМНЕФТЬ-НЕФТЕСЕРВИС,1077760003419-ooo-gazpromneft-nefteservis
ООО  БАШНЕФТЬ-ДОБЫЧА,1090280032699-ooo-bashneft-dobyicha
ООО  РН-ГРП,1028601465111-ooo-rn-grp
ООО  СЕВЕРНОЕ ЗОЛОТО,1078706000460-obschestvo-s-ogranichennoj-otvetstvennostyu-severnoe-zoloto
ООО  РУДНИК ТАБОРНЫЙ,1171447016608-ooo-rudnik-tabornyij
АО  АМЕТИСТОВОЕ,1038200840017-ao-ametistovoe
